time,x,y
0.002443,6.68659,9.32891
0.002443,6.68602,9.32925
0.002443,6.68541,9.32906
0.002443,6.68577,9.32947
0.002443,6.68508,9.32869
0.002443,6.68467,9.33091
0.002443,6.68505,9.33034
0.002443,6.68447,9.32797
0.002443,6.68422,9.32888
0.002443,6.68373,9.32825
0.002444,6.68389,9.329
0.002444,6.68319,9.32888
0.002444,6.68333,9.33012
0.002444,6.6827,9.32853
0.002444,6.6825,9.32844
0.002444,6.68281,9.32903
0.002444,6.68161,9.32756
0.002444,6.68258,9.32566
0.002444,6.68134,9.32722
0.002444,6.6813,9.32659
0.002444,6.68114,9.32591
0.002444,6.68097,9.32697
0.002444,6.68098,9.32475
0.002444,6.68034,9.32512
0.002444,6.68009,9.32512
0.002444,6.67988,9.32563
0.002444,6.67928,9.32531
0.002444,6.67991,9.32703
0.002444,6.67908,9.32519
0.002444,6.68014,9.32516
0.002444,6.67959,9.32394
0.002444,6.67839,9.32416
0.002444,6.67917,9.32387
0.002444,6.67778,9.32494
0.002444,6.67738,9.32619
0.002445,6.67667,9.32453
0.002445,6.67725,9.32459
0.002445,6.67736,9.32456
0.002445,6.67648,9.32362
0.002445,6.67644,9.32409
0.002445,6.67753,9.32387
0.002445,6.67733,9.32347
0.002445,6.6755,9.32281
0.002445,6.6752,9.32219
0.002445,6.67617,9.3235
0.002445,6.67534,9.32394
0.002445,6.675,9.32278
0.002445,6.67373,9.32306
0.002445,6.67392,9.32119
0.002445,6.67452,9.32191
0.002445,6.67373,9.32131
0.002445,6.67294,9.32294
0.002445,6.67298,9.32356
0.002445,6.67369,9.32162
0.002445,6.67116,9.32119
0.002445,6.6725,9.32097
0.002445,6.67252,9.32087
0.002445,6.67236,9.31922
0.002445,6.67153,9.32094
0.002445,6.67159,9.32225
0.002446,6.67052,9.32022
0.002446,6.67097,9.32006
0.002446,6.67072,9.3195
0.002446,6.67089,9.31862
0.002446,6.67027,9.318
0.002446,6.67014,9.32009
0.002446,6.67105,9.31828
0.002446,6.66883,9.31956
0.002446,6.66995,9.31813
0.002446,6.66945,9.31734
0.002446,6.6703,9.31844
0.002446,6.66841,9.31841
0.002446,6.66877,9.31694
0.002446,6.66758,9.31784
0.002446,6.66789,9.31731
0.002446,6.66678,9.31881
0.002446,6.6672,9.31787
0.002446,6.66713,9.31781
0.002446,6.66758,9.31678
0.002446,6.66717,9.31747
0.002446,6.66694,9.31547
0.002446,6.66597,9.31769
0.002446,6.66613,9.31619
0.002446,6.66452,9.31531
0.002446,6.66491,9.31666
0.002447,6.66498,9.31466
0.002447,6.66345,9.31716
0.002447,6.66375,9.31584
0.002447,6.66492,9.31597
0.002447,6.66347,9.317
0.002447,6.6627,9.316
0.002447,6.66355,9.31625
0.002447,6.66295,9.31581
0.002447,6.66359,9.31562
0.002447,6.66452,9.31556
0.002447,6.6625,9.31397
0.002447,6.66203,9.31419
0.002447,6.66241,9.31466
0.002447,6.66192,9.31378
0.002447,6.66086,9.316
0.002447,6.66122,9.31266
0.002447,6.66025,9.31422
0.002447,6.66048,9.31428
0.002447,6.66034,9.31419
0.002447,6.66047,9.31284
0.002447,6.66023,9.31378
0.002447,6.65973,9.31406
0.002447,6.6593,9.31262
0.002447,6.659,9.31372
0.002447,6.65777,9.31222
0.002448,6.65775,9.31212
0.002448,6.65728,9.31231
