time,col0,col1,col2,col3,col4
0.0026489999999999994,6.8966,6.9286,6.8646,6.8406,6.8326
0.0026499999999999996,6.8886,6.9366,6.8806,6.8486,6.8326
0.0026509999999999997,6.9046,6.9366,6.8646,6.8326,6.8326
0.002652,6.9126,6.9366,6.8806,6.8566,6.8246
0.002653,6.8966,6.9366,6.8886,6.8486,6.8486
0.002654,6.9126,6.9446,6.8966,6.8646,6.8486
0.0026550000000000002,6.9046,6.9526,6.8966,6.8566,6.8646
0.0026559999999999995,6.9126,6.9446,6.9046,6.8646,6.8406
0.0026569999999999996,6.9286,6.9526,6.9046,6.8646,6.8726
0.0026579999999999998,6.9206,6.9606,6.9126,6.8566,6.8486
0.002659,6.9206,6.9606,6.9126,6.8806,6.8646
0.00266,6.9366,6.9686,6.9126,6.8726,6.8726
0.002661,6.9206,6.9446,6.9126,6.8726,6.8726
0.0026619999999999994,6.9206,6.9606,6.9126,6.8646,6.8646
0.0026629999999999996,6.9286,6.9526,6.9126,6.8726,6.8726
0.0026639999999999997,6.9366,6.9686,6.9206,6.8806,6.8806
0.002665,6.9366,6.9686,6.9126,6.8726,6.8646
0.002666,6.9286,6.9686,6.9126,6.8726,6.8886
0.002667,6.9366,6.9686,6.9286,6.8806,6.8646
0.0026680000000000002,6.9366,6.9686,6.9206,6.8806,6.8726
0.0026689999999999995,6.9286,6.9686,6.9126,6.8806,6.8646
0.0026699999999999996,6.9446,6.9686,6.9206,6.8726,6.8726
0.0026709999999999998,6.9206,6.9686,6.9126,6.8806,6.8646
0.002672,6.9286,6.9766,6.9126,6.8726,6.8726
0.002673,6.9206,6.9686,6.9286,6.8726,6.8806
0.002674,6.9206,6.9686,6.9286,6.8726,6.8646
0.0026749999999999994,6.9206,6.9606,6.9286,6.8646,6.8726
0.0026759999999999996,6.9206,6.9686,6.9126,6.8566,6.8726
0.0026769999999999997,6.9286,6.9606,6.9126,6.8726,6.8646
0.002678,6.9206,6.9606,6.9046,6.8646,6.8726
0.002679,6.9286,6.9526,6.9126,6.8726,6.8566
0.00268,6.9206,6.9606,6.9126,6.8646,6.8486
0.0026810000000000002,6.9126,6.9446,6.9126,6.8566,6.8566
0.0026819999999999995,6.9046,6.9526,6.9126,6.8566,6.8646
0.0026829999999999996,6.9126,6.9446,6.9046,6.8646,6.8486
0.0026839999999999998,6.9126,6.9366,6.8966,6.8646,6.8486
0.002685,6.9046,6.9286,6.8966,6.8486,6.8406
0.002686,6.9126,6.9526,6.8886,6.8566,6.8486
0.002687,6.9046,6.9366,6.8966,6.8486,6.8326
0.0026879999999999994,6.9046,6.9126,6.8726,6.8406,6.8326
0.0026889999999999996,6.8966,6.9366,6.8726,6.8406,6.8326
0.0026899999999999997,6.8966,6.9206,6.8726,6.8326,6.8326
0.002691,6.8886,6.9206,6.8726,6.8246,6.8166
0.002692,6.8966,6.9126,6.8646,6.8246,6.8246
0.002693,6.8726,6.9126,6.8726,6.8086,6.8246
0.002694,6.8726,6.9046,6.8646,6.8166,6.8246
0.0026949999999999995,6.8726,6.9046,6.8406,6.8246,6.8006
0.0026959999999999996,6.8646,6.8886,6.8486,6.8246,6.8166
0.0026969999999999997,6.8486,6.8886,6.8406,6.7926,6.7926
0.002698,6.8566,6.8886,6.8486,6.8006,6.8006
0.002699,6.8566,6.8806,6.8326,6.8006,6.7926
0.0027,6.8566,6.8806,6.8406,6.7926,6.7926
0.0027010000000000003,6.8486,6.8806,6.8246,6.7766,6.8006
0.0027019999999999995,6.8326,6.8726,6.8246,6.7846,6.7846
0.0027029999999999997,6.8326,6.8646,6.8086,6.7846,6.7686
0.002704,6.8246,6.8566,6.8166,6.7766,6.7686
0.002705,6.8326,6.8726,6.8086,6.7846,6.7686
0.002706,6.8166,6.8486,6.8006,6.7766,6.7606
0.002707,6.8166,6.8486,6.8166,6.7526,6.7606
0.0027079999999999995,6.8166,6.8406,6.8006,6.7606,6.7446
0.0027089999999999996,6.8006,6.8246,6.7846,6.7526,6.7526
0.0027099999999999997,6.7926,6.8246,6.7926,6.7366,6.7446
0.002711,6.8006,6.8326,6.7846,6.7446,6.7526
0.002712,6.7926,6.8086,6.7846,6.7446,6.7286
0.002713,6.7766,6.8086,6.7686,6.7366,6.7286
0.0027140000000000003,6.7926,6.8246,6.7686,6.7206,6.7286
0.0027149999999999995,6.7686,6.8086,6.7686,6.7206,6.7206
0.0027159999999999997,6.7766,6.8086,6.7606,6.7206,6.7206
0.002717,6.7686,6.8086,6.7606,6.7286,6.7206
0.002718,6.7686,6.7926,6.7606,6.7046,6.7046
0.002719,6.7606,6.7926,6.7526,6.7126,6.6886
0.00272,6.7686,6.7926,6.7606,6.7206,6.7046
0.0027209999999999995,6.7606,6.7926,6.7446,6.6966,6.7046
0.0027219999999999996,6.7686,6.7846,6.7286,6.6886,6.6966
0.0027229999999999997,6.7606,6.7846,6.7366,6.6886,6.6966
0.002724,6.7446,6.7846,6.7446,6.6886,6.6806
0.002725,6.7446,6.7766,6.7366,6.6886,6.7046
0.002726,6.7526,6.7846,6.7366,6.6646,6.6966
0.0027270000000000003,6.7366,6.7686,6.7286,6.6806,6.6726
0.0027279999999999995,6.7526,6.7686,6.7286,6.6806,6.6806
0.0027289999999999997,6.7366,6.7606,6.7286,6.6806,6.6966
0.00273,6.7446,6.7766,6.7366,6.6886,6.6646
0.002731,6.7366,6.7686,6.7206,6.6966,6.6646
0.002732,6.7286,6.7606,6.7126,6.6806,6.6646
0.002733,6.7206,6.7766,6.7126,6.6646,6.6886
0.0027339999999999995,6.7366,6.7606,6.7126,6.6806,6.6646
0.0027349999999999996,6.7286,6.7686,6.7126,6.6806,6.6726
0.0027359999999999997,6.7286,6.7606,6.7126,6.6806,6.6646
0.002737,6.7206,6.7606,6.7046,6.6726,6.6726
0.002738,6.7206,6.7606,6.7126,6.6646,6.6566
0.002739,6.7206,6.7526,6.7046,6.6726,6.6726
0.0027400000000000002,6.7286,6.7686,6.7206,6.6806,6.6646
0.0027409999999999995,6.7126,6.7686,6.7126,6.6646,6.6646
0.0027419999999999996,6.7206,6.7526,6.7126,6.6646,6.6726
0.0027429999999999998,6.7366,6.7606,6.7046,6.6646,6.6806
0.002744,6.7366,6.7606,6.7286,6.6806,6.6646
0.002745,6.7286,6.7766,6.7206,6.6726,6.6726
0.002746,6.7286,6.7606,6.7286,6.6646,6.6726
0.0027469999999999994,6.7446,6.7686,6.7206,6.6886,6.6806
